author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303583248/;Москва;sale;flat;22;45;2;77.1;32300000;Хорошево-Мневники; Шеногина;2;Шелепиха;
А101;developer;https://www.cian.ru/sale/flat/292131036/;Москва;sale;flat;11;16;2;39.7;9127413;;;;Филатов Луг;Деснаречье ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300148680/;Москва;sale;flat;7;27;2;67.9;28600000;Лефортово;;;Серп и Молот;Символ ЖК
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/298334392/;Москва;sale;flat;6;15;1;40.5;24502499;Раменки;Винницкая ;8к3;Раменки;Настоящее
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/285383928/;Москва;sale;flat;7;22;2;75.0;38500000;Раменки;Минская ;1ГК1;Ломоносовский проспект;Золотые Ключи 2
Hutton Development;developer;https://www.cian.ru/sale/flat/303631394/;Москва;sale;flat;5;17;1;50.3;35000000;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
ID 413522;realtor;https://www.cian.ru/sale/flat/303087584/;Москва;sale;flat;7;12;2;78.0;104390000;Хамовники; Ефремова;10;Фрунзенская;Садовые кварталы
Level Group;developer;https://www.cian.ru/sale/flat/302126126/;Москва;sale;flat;23;26;1;33.5;;Нагатино-Садовники;Нагатинская набережная;;Нагатинская;Level Нагатинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299639948/;Москва;sale;flat;30;75;2;71.8;66000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/303227151/;Москва;sale;flat;14;30;1;37.6;18068648;Южнопортовый;Волгоградский проспект;32/5к2;Дубровка;Метрополия
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304246194/;Москва;sale;flat;4;7;2;91.0;130000000;Пресненский;Малый Козихинский переулок;7;Пушкинская;
MR Group;developer;https://www.cian.ru/sale/flat/303135247/;Москва;sale;flat;3;48;1;34.4;14603694;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/300346168/;Москва;sale;flat;12;25;2;80.0;40000000;Раменки;Мичуринский проспект;26;Раменки;
MR Group;developer;https://www.cian.ru/sale/flat/303786405/;Москва;sale;flat;12;39;1;33.69;14852731;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ID 74438895;realtor;https://www.cian.ru/sale/flat/302406289/;Москва;sale;flat;11;16;2;63.0;35900000;Сокольники; Матросская Тишина;12;Сокольники;Ренессанс
Трансстройинвест;developer;https://www.cian.ru/sale/flat/303921201/;Москва;sale;flat;14;22;1;48.6;25876852;Останкинский;проезд Ольминского;4;ВДНХ;Сенатор
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/303071453/;Москва;sale;flat;10;23;1;35.4;10900000;Южнопортовый;Волгоградский проспект;30С1;Волгоградский проспект;HighWay
VOS HOD;developer;https://www.cian.ru/sale/flat/300560437/;Москва;sale;flat;8;17;1;69.3;38918880;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
ЦРУ;real_estate_agent;https://www.cian.ru/sale/flat/304044237/;Москва;sale;flat;9;9;1;30.3;12000000;Восточное Измайлово;Измайловский бульвар;67К1;Первомайская;
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/303294788/;Москва;sale;flat;14;25;1;37.7;20535964;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/292414471/;Москва;sale;flat;3;20;2;64.0;38000000;Беговой;Бумажный проезд;4;Белорусская;Клубный дом SOHO+NOHO
TOUCH;developer;https://www.cian.ru/sale/flat/302838439/;Москва;sale;flat;2;13;1;40.02;22691340;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303459806/;Москва;sale;flat;9;15;2;62.9;35500000;Раменки;Винницкая ;8к4;Раменки;Настоящее
Колди;developer;https://www.cian.ru/sale/flat/302241722/;Москва;sale;flat;17;21;1;30.09;8649740;Нижегородский;;;Калитники;Н'айс Лофт ЖК
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/297894351/;Москва;sale;flat;6;7;2;95.0;130000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/304095973/;Москва;sale;flat;13;50;1;39.7;22501960;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303199166/;Москва;sale;flat;7;79;2;62.1;49680000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
А101;developer;https://www.cian.ru/sale/flat/291307441/;Москва;sale;flat;4;16;2;34.4;10817233;;;;Филатов Луг;Прокшино ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300553173/;Москва;sale;flat;2;14;2;69.9;35000000;Мещанский; Гиляровского;4К1;Сухаревская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298496731/;Москва;sale;flat;14;19;1;29.0;18009000;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/300179482/;Москва;sale;flat;8;15;1;36.56;7300000;; Уточкина;4;Силикатная;
Основа;developer;https://www.cian.ru/sale/flat/297547441/;Москва;sale;flat;26;31;1;43.3;21130400;Марфино;;к1;Улица Милашенкова;Вери ЖК
ID 466704;homeowner;https://www.cian.ru/sale/flat/304147701/;Москва;sale;flat;21;25;2;63.8;26800000;Фили-Давыдково;Инициативная ;7к3;Давыдково;
Level Group;developer;https://www.cian.ru/sale/flat/301557027/;Москва;sale;flat;14;31;1;33.9;;Западное Дегунино;Северный ао;к3;Верхние Лихоборы;Левел Селигерская ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302375319/;Москва;sale;flat;4;7;1;36.8;8500000;;;;Санино;Квартал Западный ЖК
Мангазея;developer;https://www.cian.ru/sale/flat/304059316/;Москва;sale;flat;10;41;1;41.3;20117230;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
MERSI;real_estate_agent;https://www.cian.ru/sale/flat/303520855/;Москва;sale;flat;1;6;2;54.0;47000000;Пресненский;Большой Козихинский переулок;17С1;Пушкинская;
Forma;developer;https://www.cian.ru/sale/flat/301354608/;Москва;sale;flat;8;25;1;40.7;21020410;Печатники;Южнопортовая ;;Печатники;Portland
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302363306/;Москва;sale;flat;7;8;2;51.0;75200000;Якиманка;Софийская набережная;34С5;Новокузнецкая;Софийский
Трансстройинвест;developer;https://www.cian.ru/sale/flat/304190830/;Москва;sale;flat;12;32;1;44.0;14031072;Рязанский;;;Стахановская;Проспект 39 ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303016403/;Москва;sale;flat;12;28;1;45.2;20950000;Даниловский;Автозаводская ;;Автозаводская;Shagal
Основа;developer;https://www.cian.ru/sale/flat/299250693/;Москва;sale;flat;11;29;1;30.1;12536650;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299740778/;Москва;sale;flat;1;17;2;65.8;14000000;; Бачуринская;22к2;Коммунарка;
Level Group;developer;https://www.cian.ru/sale/flat/301557214/;Москва;sale;flat;2;32;1;32.4;;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303804363/;Москва;sale;flat;9;9;2;56.3;18490000;Филевский парк;Новозаводская ;2к8А;Фили;
Level Group;developer;https://www.cian.ru/sale/flat/301565185/;Москва;sale;flat;5;13;1;28.8;;Печатники;;14;Кожуховская;Левел Южнопортовая ЖК
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/303620086/;Москва;sale;flat;16;16;1;19.5;6290000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
ID 111759195;developer;https://www.cian.ru/sale/flat/296871868/;Москва;sale;flat;10;14;1;30.3;11663288;Рязанский;Рязанский проспект;;Окская;balance
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301156873/;Москва;sale;flat;2;7;2;75.0;37800000;Мещанский; Гиляровского;55;Проспект Мира;Дом на Гиляровского
St Michael;developer;https://www.cian.ru/sale/flat/303024852/;Москва;sale;flat;15;21;1;37.14;16752250;Хорошевский;9Ак6;9Ак6;Зорге;Зорге 9 ЖК
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303116161/;Москва;sale;flat;7;9;2;43.0;11950000;;проспект Магеллана;2;Прокшино;Испанские кварталы
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303928162/;Москва;sale;flat;2;12;2;44.4;19000000;Сокольники; Жебрунова;1;Сокольники;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303584009/;Москва;sale;flat;3;23;2;53.1;21500000;Филевский парк;3-я Филевская ;8К2;Багратионовская;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302009178/;Москва;sale;flat;7;46;2;60.8;21999000;Обручевский; Академика Волгина;вл2с6;Калужская;Архитектор
Prime Life Development;developer;https://www.cian.ru/sale/flat/299132455/;Москва;sale;flat;19;28;1;40.95;23432090;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;Первый Нагатинский
Александр Чалый;realtor;https://www.cian.ru/sale/flat/297988982/;Москва;sale;flat;12;29;2;50.0;25600000;Ховрино;Флотская ;7с1;Речной вокзал;
А101;developer;https://www.cian.ru/sale/flat/288821954/;Москва;sale;flat;3;16;2;54.2;26000289;Сокол; Зорге;25С2;Зорге;Дом на Зорге
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300373373/;Москва;sale;flat;9;23;2;68.4;32500000;Хорошево-Мневники;Жилой комплекс остров;2-й кв-л;Терехово ;Остров
ALVO Group;real_estate_agent;https://www.cian.ru/sale/flat/302615259/;Москва;sale;flat;7;9;2;65.0;41500000;Басманный; Земляной Вал;21/2С1;Курская;
City View;real_estate_agent;https://www.cian.ru/sale/flat/303780972/;Москва;sale;flat;39;44;2;69.4;49000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301655618/;Москва;sale;flat;1;11;2;74.13;100000000;Дорогомилово;;3к2;Парк Победы;Виктори Парк Резиденсез ЖК
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302342877/;Москва;sale;flat;6;6;2;143.0;158311079;Якиманка; Большая Полянка;61С2;Добрынинская;
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/303252400/;Москва;sale;flat;6;10;2;96.0;260000000;Хамовники; Льва Толстого;23к1;Парк Культуры;Литератор
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/302900739/;Москва;sale;flat;3;16;1;29.6;7350000;Дмитровский;Дмитровское шоссе;107Б;Яхромская;
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303226697/;Москва;sale;flat;7;12;1;39.4;7900000;;проспект Куприна;32к1;Бунинская аллея;Эко Бунино
А101;developer;https://www.cian.ru/sale/flat/301534151/;Москва;sale;flat;9;10;2;43.2;8840771;;;3.3;Толстопальцево;Родные кварталы ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/303066592/;Москва;sale;flat;7;14;2;52.2;10023000;;;;Кедровая;Новые Ватутинки, мкр. Заречный
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/294469100/;Москва;sale;flat;9;9;2;44.0;12300000;Нижегородский;Нижегородская ;49А;Нижегородская;
ID 95996886;realtor;https://www.cian.ru/sale/flat/302896262/;Москва;sale;flat;8;9;2;37.0;13500000;Текстильщики;Волжский бульвар;12К1;Текстильщики;
ID 45097821;realtor;https://www.cian.ru/sale/flat/301645204/;Москва;sale;flat;2;23;2;38.0;13500000;Хорошевский; Зорге;9;Полежаевская;Зорге 9
Виталий Флокосу;realtor;https://www.cian.ru/sale/flat/303001192/;Москва;sale;flat;2;22;1;48.0;14499000;Солнцево;Боровское шоссе;2Ак3;Говорово;Мещерский лес
Татьяна Серебрякова;realtor;https://www.cian.ru/sale/flat/302283450/;Москва;sale;flat;5;14;2;52.0;15999999;Марьино;Братиславская ;6К1;Братиславская;
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302124517/;Москва;sale;flat;3;34;1;47.8;19320760;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
Юлия Похлёбина;realtor;https://www.cian.ru/sale/flat/303496415/;Москва;sale;flat;9;25;2;61.5;19990000;; Анны Ахматовой;8;Рассказовка;Переделкино Ближнее Город-парк
Пионер;developer;https://www.cian.ru/sale/flat/301460277/;Москва;sale;flat;16;39;1;37.2;27747294;Даниловский;;;Павелецкая;Хай Лайф ЖК
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/303155483/;Москва;sale;flat;3;7;2;80.0;29290000;Басманный;Нижняя Красносельская ;35С2;Бауманская;Kleinhouse
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302214446/;Москва;sale;flat;28;45;2;77.1;37400000;Хорошево-Мневники;;;Шелепиха;Сидней Сити ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293510493/;Москва;sale;flat;8;22;2;87.2;38000000;Раменки; Пырьева;9К1;Поклонная;
ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/302363686/;Москва;sale;flat;6;14;2;78.0;37990000;Беговой;Скаковая ;5;Белорусская;
Upside Development;developer;https://www.cian.ru/sale/flat/303215976/;Москва;sale;flat;12;12;1;58.7;38155000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
Дарья Батова;realtor;https://www.cian.ru/sale/flat/304215772/;Москва;sale;flat;23;25;2;73.0;39990000;Покровское-Стрешнево;бульвар Небесный;1к1;Спартак;ÁLIA
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/300660827/;Москва;sale;flat;28;29;2;53.6;42800000;Якиманка;Мытная ;40к4;Октябрьская;Sky House
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296403571/;Москва;sale;flat;4;8;2;65.0;44900000;Тверской;Благовещенский переулок;5;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300812063/;Москва;sale;flat;2;3;2;77.0;50000000;Хамовники;Саввинская набережная;5;Киевская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302543412/;Москва;sale;flat;8;9;2;71.3;60000000;Тверской;1-я Тверская-Ямская ;7;Маяковская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/292154263/;Москва;sale;flat;4;20;2;76.6;62046000;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008779/;Москва;sale;flat;12;28;2;121.68;63400000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/295368581/;Москва;sale;flat;3;9;2;135.4;145000000;Якиманка; Малая Полянка;2;Полянка;Онегин
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290697585/;Москва;sale;flat;3;9;2;148.5;230000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/301906475/;Москва;sale;flat;12;22;1;15.6;6700000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Москва;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/296746930/;Москва;sale;flat;1;9;1;34.9;6854250;Люблино; Верхние Поля;27С2;Братиславская;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292414373/;Москва;sale;flat;16;22;1;15.1;7450000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294623881/;Москва;sale;flat;15;22;1;19.9;8060000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ID 107814632;homeowner;https://www.cian.ru/sale/flat/304088261/;Москва;sale;flat;2;2;2;24.4;8170000;Текстильщики;1-й Грайвороновский проезд;1;Текстильщики;Грани
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300858701/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/295014010/;Москва;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/296124514/;Москва;sale;flat;22;22;1;17.2;8780000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300822403/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/292542632/;Москва;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/301476484/;Москва;sale;flat;13;22;1;17.6;8900000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/294621795/;Москва;sale;flat;13;22;1;19.9;9070000;Тропарево-Никулино;Ленинский проспект;158;Тропарёво;
ID 96167522;realtor;https://www.cian.ru/sale/flat/298882717/;Москва;sale;flat;9;9;1;36.5;9215000;Люблино; Верхние Поля;27С2;Братиславская;
ID 180180;homeowner;https://www.cian.ru/sale/flat/303662675/;Москва;sale;flat;1;9;1;29.5;9600000;Новогиреево;Свободный проспект;39К1;Новогиреево;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/303666748/;Москва;sale;flat;16;22;1;19.2;10000000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304196039/;Москва;sale;flat;3;9;2;44.4;10900000;Выхино-Жулебино;Ташкентская ;15/22;Юго-Восточная;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303866591/;Москва;sale;flat;4;5;2;42.8;11500000;Новогиреево;Мартеновская ;16/36;Новогиреево;
Виктория Цибина;realtor;https://www.cian.ru/sale/flat/304124021/;Москва;sale;flat;5;5;2;44.8;11990000;Царицыно;Веселая ;33К7;Царицыно;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/300568239/;Москва;sale;flat;3;5;2;46.7;12390000;Новогиреево;Мартеновская ;20;Новогиреево;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303817562/;Москва;sale;flat;3;9;2;47.0;12490000;Орехово-Борисово Южное;Домодедовская ;33;Домодедовская;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304126744/;Москва;sale;flat;9;16;1;35.1;12500000;Коньково; Генерала Антонова;5К5;Беляево;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303274502/;Москва;sale;flat;3;9;1;32.1;12690000;Южнопортовый;5-я Кожуховская ;22К2;Кожуховская;
Илья Филипонский;realtor;https://www.cian.ru/sale/flat/304192999/;Москва;sale;flat;5;16;1;39.0;14000000;Чертаново Центральное;Варшавское шоссе;142К1;Пражская;
Rooms and Rent Group;real_estate_agent;https://www.cian.ru/sale/flat/303921166/;Москва;sale;flat;16;20;1;41.9;14550000;Чертаново Южное;Варшавское шоссе;160к2;Аннино;Аннинский
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303870914/;Москва;sale;flat;9;17;2;51.1;14800000;Марьино;Новомарьинская ;36К1;Братиславская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303810531/;Москва;sale;flat;5;8;2;44.7;14990000;Донской;Варшавское шоссе;18К3;Верхние котлы;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301597650/;Москва;sale;flat;5;9;2;44.8;15190000;Очаково-Матвеевское;Очаковское шоссе;11К1;Аминьевская;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303807545/;Москва;sale;flat;14;17;2;64.0;15990000;; Бориса Пастернака;49;Мичуринец;
Павел Пряжников;realtor;https://www.cian.ru/sale/flat/303823301/;Москва;sale;flat;9;16;1;38.0;16000000;Кунцево;Полоцкая ;25к1;Молодёжная;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/301506427/;Москва;sale;flat;1;12;2;38.2;17200000;Тверской; Бутырский Вал;34;Белорусская;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303787673/;Москва;sale;flat;3;16;2;57.0;17500000;;проспект Прокшинский;10;Прокшино;Прокшино
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302728199/;Москва;sale;flat;5;17;2;55.9;17900000;Отрадное;Нововладыкинский проезд;1к3;Окружная;Поколение
MR Group;developer;https://www.cian.ru/sale/flat/303227074/;Москва;sale;flat;17;30;1;41.5;19199932;Южнопортовый;Волгоградский проспект;32/3к4;Волгоградский проспект;Метрополия
Level Group;developer;https://www.cian.ru/sale/flat/301797575/;Москва;sale;flat;2;48;1;32.5;;Очаково-Матвеевское;;к8;Аминьевская;Левел Мичуринский ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301596332/;Москва;sale;flat;4;5;2;53.9;20290000;Ломоносовский; Строителей;5К4;Университет;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303814205/;Москва;sale;flat;2;9;1;34.1;20490000;Красносельский;переулок Даев;12/16;Сухаревская;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300140948/;Москва;sale;flat;11;20;1;44.0;22490000;Левобережный;Ленинградское шоссе;69;Беломорская;Aquatoria
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296736911/;Москва;sale;flat;4;21;1;45.15;22500000;Алексеевский;Новоалексеевская ;16к2;Алексеевская;Серебряный фонтан
ID 104795526;real_estate_agent;https://www.cian.ru/sale/flat/297486676/;Москва;sale;flat;2;9;1;41.4;22900000;Хамовники;Комсомольский проспект;23/7;Фрунзенская;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304233063/;Москва;sale;flat;3;22;2;60.8;23000000;Хорошево-Мневники;3-я Хорошевская ;17А;Зорге;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304119233/;Москва;sale;flat;8;24;2;45.2;23300000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/303933867/;Москва;sale;flat;8;46;2;43.5;23500000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/276155299/;Москва;sale;flat;3;57;1;42.77;24617001;Филевский парк;;;Фили;Фили Сити ЖК
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304247865/;Москва;sale;flat;4;28;2;85.0;26500000;Даниловский;1-я оч.;к5;ЗИЛ;Shagal
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Москва;sale;flat;5;6;1;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/303222163/;Москва;sale;flat;4;7;2;54.0;28000000;Басманный;Большая Почтовая ;16;Бауманская;
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/295316100/;Москва;sale;flat;22;42;2;61.6;27990000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300386935/;Москва;sale;flat;10;33;2;44.3;28500000;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303788194/;Москва;sale;flat;14;29;2;50.1;29600000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303196371/;Москва;sale;flat;14;28;2;67.0;30000000;Можайский;переулок 2-й Петра Алексеева;5;Рабочий посёлок;КутузовGRAD II
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/288460035/;Москва;sale;flat;9;21;2;50.3;33400000;Басманный; Земляной Вал;37к1;Чкаловская;Дом Chkalov
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302295108/;Москва;sale;flat;10;46;2;58.5;39900000;Даниловский;Дубининская ;59А;Павелецкая;Павелецкая Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296565916/;Москва;sale;flat;4;8;2;65.0;44900000;Тверской;Благовещенский переулок;5;Маяковская;
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008778/;Москва;sale;flat;4;28;2;70.0;48000000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Capital Group;developer;https://www.cian.ru/sale/flat/301483027/;Москва;sale;flat;12;18;1;53.4;59653573;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300133660/;Москва;sale;flat;3;3;2;107.8;70000000;Покровское-Стрешнево;Ленинградское шоссе;23к1;Балтийская;TWEED PARK
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303370372/;Москва;sale;flat;4;8;1;57.0;70000000;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299558863/;Москва;sale;flat;2;4;2;136.6;75000000;Донской;Варшавское шоссе;9с28;Тульская;Даниловская мануфактура
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006046/;Москва;sale;flat;4;6;2;156.0;77400000;Тверской; Малая Дмитровка;29С1;Маяковская;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/303920462/;Москва;sale;flat;17;78;2;92.0;80000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/299328634/;Москва;sale;flat;7;12;2;77.2;104900000;Хамовники; Ефремова;10с1к4/2;Фрунзенская;Садовые кварталы
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/303612164/;Москва;sale;flat;2;8;2;77.4;123000000;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302731259/;Москва;sale;flat;5;14;2;82.0;150000000;Хамовники;Трубецкая ;10;Фрунзенская;Дом на Трубецкой
Кристина Лебедева;realtor;https://www.cian.ru/sale/flat/300285703/;Москва;sale;flat;3;4;2;36.0;10150000;Соколиная гора;Щербаковская ;53;Измайлово;
Ирина Савельева;realtor;https://www.cian.ru/sale/flat/297485415/;Москва;sale;flat;10;17;2;38.0;10410000;; Бачуринская;13;Бачуринская;Новая Звезда
