author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/262519758/;Москва;sale;flat;5;21;2;110.6;103787040;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Москва;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300964449/;Москва;sale;flat;20;22;2;38.4;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921092/;Москва;sale;flat;2;18;2;74.6;30350099;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Москва;sale;flat;2;10;2;69.4;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
Юлия Шмелева;realtor;https://www.cian.ru/sale/flat/304483841/;Москва;sale;flat;7;12;1;35.0;12950000;Чертаново Южное; Подольских Курсантов;2к1;Пражская;
Главстрой;developer;https://www.cian.ru/sale/flat/301772281/;Москва;sale;flat;2;8;2;48.83;24219680;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300199357/;Москва;sale;flat;14;58;2;60.2;19900000;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
Дмитрий Воронин;realtor;https://www.cian.ru/sale/flat/304642640/;Москва;sale;flat;6;9;2;40.0;16500000;; Инженера Кнорре;7к1;Румянцево;
Regions Development;developer;https://www.cian.ru/sale/flat/304060514/;Москва;sale;flat;2;23;2;72.1;31598302;Нагатинский затон;проспект Андропова;9/1к2;Технопарк;Dream Towers
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302836719/;Москва;sale;flat;16;31;1;35.8;10500000;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/303116228/;Москва;sale;flat;5;22;1;41.0;11200000;Бирюлево Восточное;6-я Радиальная ;7/1к2;Царицыно;Царицыно-2
Tekta Group;developer;https://www.cian.ru/sale/flat/303224329/;Москва;sale;flat;7;34;2;41.4;21296160;Обручевский;;;Воронцовская;Эвер ЖК
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/294212104/;Москва;sale;flat;34;78;2;76.1;62000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/301907258/;Москва;sale;flat;2;12;1;38.7;10500000;Строгино; Исаковского;2К1;Мякинино;
Tekta Group;developer;https://www.cian.ru/sale/flat/301260478/;Москва;sale;flat;5;27;2;40.5;24036750;Даниловский;;1;Павелецкая;Эра ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302543412/;Москва;sale;flat;8;9;2;71.3;59900000;Тверской;1-я Тверская-Ямская ;7;Маяковская;
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/303790635/;Москва;sale;flat;10;15;1;38.3;8950000;Крюково;Зеленоград;к2033;Зеленоград — Крюково;
TOUCH;developer;https://www.cian.ru/sale/flat/302838481/;Москва;sale;flat;6;13;2;60.31;35498000;Южнопортовый;;к3;Дубровка;Шампайн ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/276019027/;Москва;sale;flat;6;6;2;130.0;58000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303801019/;Москва;sale;flat;13;14;1;40.3;8400000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
FORMA;developer;https://www.cian.ru/sale/flat/303018405/;Москва;sale;flat;18;33;2;46.45;41753905;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;169000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/304621811/;Москва;sale;flat;3;16;2;54.6;11800000;Гольяново;Красноярская ;1;Щёлковская;
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;143796000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ID 413522;realtor;https://www.cian.ru/sale/flat/304414073/;Москва;sale;flat;13;15;2;117.4;139800000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303804363/;Москва;sale;flat;9;9;2;56.3;17990000;Филевский парк;Новозаводская ;2к8А;Фили;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;168270000;Якиманка;;;Боровицкая;Лаврушинский ЖК
ID 118500316;homeowner;https://www.cian.ru/sale/flat/304242702/;Москва;sale;flat;19;41;2;55.0;28500000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
Владимир Фетискин;realtor;https://www.cian.ru/sale/flat/303945226/;Москва;sale;flat;7;9;1;32.0;8700000;Зюзино;Балаклавский проспект;30К2;Каховская;
ANT Development;developer;https://www.cian.ru/sale/flat/303519450/;Москва;sale;flat;22;34;2;50.6;59236384;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303439862/;Москва;sale;flat;3;10;2;90.0;37900000;Басманный;Нижняя Красносельская ;35С48;Бауманская;TriBeCa APARTMENTS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/304229312/;Москва;sale;flat;5;24;2;54.7;18500000;Обручевский; Обручева;5А;Новаторская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259751/;Москва;sale;flat;23;42;2;41.6;25837760;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330116/;Москва;sale;flat;7;14;2;95.0;190000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Алина Валиуллина;realtor;https://www.cian.ru/sale/flat/304000697/;Москва;sale;flat;5;12;2;52.0;28900000;Мещанский;переулок Васнецова;3;Цветной бульвар;
MR Group;developer;https://www.cian.ru/sale/flat/304294682/;Москва;sale;flat;2;46;2;63.78;30642834;Даниловский;Дубининская ;59А;Серпуховская;Павелецкая Сити
ID 85604823;unknown;https://www.cian.ru/sale/flat/304490404/;Москва;sale;flat;38;51;2;64.0;38000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9700000;Гольяново;Уральская ;1;Щёлковская;
Пионер;developer;https://www.cian.ru/sale/flat/301459888/;Москва;sale;flat;6;18;2;48.4;36526254;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/301407636/;Москва;sale;flat;21;22;1;38.5;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303116161/;Москва;sale;flat;7;9;2;43.0;11950000;;проспект Магеллана;2;Прокшино;Испанские кварталы
EraOneHolding;developer;https://www.cian.ru/sale/flat/284404561/;Москва;sale;flat;8;8;2;121.2;159473684;Арбат; Арбат;24;Смоленская;Turandot Residences
Новый адрес;real_estate_agent;https://www.cian.ru/sale/flat/281206289/;Москва;sale;flat;11;14;2;54.0;13000000;; Логинова;5к2;Щербинка;Остафьево
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/304517600/;Москва;sale;flat;12;12;2;45.6;9750000;Бибирево;Белозерская ;1А;Алтуфьево;
MR Group;developer;https://www.cian.ru/sale/flat/300287890/;Москва;sale;flat;5;43;2;57.89;27611151;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/304323178/;Москва;sale;flat;9;14;2;55.2;11800000;; Гренадерская;9к1;Ольховая;Новые Ватутинки, мкр. Десна
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/303620086/;Москва;sale;flat;16;16;1;19.5;6190000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
MR Group;developer;https://www.cian.ru/sale/flat/302792260/;Москва;sale;flat;4;13;2;85.76;108088817;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
ID 112591621;homeowner;https://www.cian.ru/sale/flat/301839935/;Москва;sale;flat;13;45;2;51.0;31500000;Дорогомилово;Кутузовский проезд;16А/1;Деловой центр;River Park Кутузовский
ID 73528567;homeowner;https://www.cian.ru/sale/flat/303492918/;Москва;sale;flat;20;31;2;59.4;21990000;Ховрино;Клинская ;2Ак7;Грачёвская;мой адрес На Клинской
Среда;developer;https://www.cian.ru/sale/flat/304434864/;Москва;sale;flat;8;30;2;56.31;23943012;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303776065/;Москва;sale;flat;4;16;2;59.8;13300000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303810531/;Москва;sale;flat;5;8;2;44.7;13990000;Донской;Варшавское шоссе;18К3;Верхние котлы;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040420/;Москва;sale;flat;4;6;2;74.91;142778460;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 69610757;realtor;https://www.cian.ru/sale/flat/304637189/;Москва;sale;flat;12;21;1;25.0;9750000;Южное Бутово;Бартеневская ;18к2;Бунинская аллея;Южные сады
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;66618396;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302544975/;Москва;sale;flat;19;41;1;47.6;42000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301596332/;Москва;sale;flat;4;5;2;53.9;19990000;Ломоносовский; Строителей;5К4;Университет;
Среда;developer;https://www.cian.ru/sale/flat/303859205/;Москва;sale;flat;6;27;2;53.6;20630640;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753500/;Москва;sale;flat;3;5;2;69.3;52000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300967746/;Москва;sale;flat;6;24;2;40.0;16500000;Митино;Муравская ;46к3;Пятницкое шоссе;Эко-квартал Аквилон Митино
PIONEER;developer;https://www.cian.ru/sale/flat/301513284/;Москва;sale;flat;4;22;2;47.2;24921930;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295800676/;Москва;sale;flat;4;17;2;44.5;39500000;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
Андрей Дмитриев;realtor;https://www.cian.ru/sale/flat/304473181/;Москва;sale;flat;3;22;2;55.5;13950000;Косино-Ухтомский; Рудневка;21;Улица Дмитриевского;
MR Group;developer;https://www.cian.ru/sale/flat/298278959/;Москва;sale;flat;2;37;2;64.3;41616568;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301565559/;Москва;sale;flat;5;21;2;117.0;115000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303817562/;Москва;sale;flat;3;9;2;47.0;12490000;Орехово-Борисово Южное;Домодедовская ;33;Домодедовская;
Ташир;developer;https://www.cian.ru/sale/flat/264100219/;Москва;sale;flat;28;32;2;78.1;32145960;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302998801/;Москва;sale;flat;9;9;2;46.0;27600000;Хамовники;3-я Фрунзенская ;17;Спортивная;
Мангазея;developer;https://www.cian.ru/sale/flat/301581592/;Москва;sale;flat;9;21;2;74.2;36238909;Щукино;Щукинская ;;Щукинская;Интонация
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301212653/;Москва;sale;flat;2;24;2;57.4;26000000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
ID 111240424;homeowner;https://www.cian.ru/sale/flat/300143306/;Москва;sale;flat;38;52;2;63.0;38000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Sense Development;developer;https://www.cian.ru/sale/flat/300501957/;Москва;sale;flat;7;13;2;64.9;35782232;Даниловский;Подольское шоссе;3;Тульская;Logos
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/304681968/;Москва;sale;flat;5;40;2;40.0;37200000;Хорошевский;Ленинградский проспект;37/4;;Прайм Парк
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302728199/;Москва;sale;flat;5;17;2;55.9;17900000;Отрадное;Нововладыкинский проезд;1к3;Окружная;Поколение
Hutton Development;developer;https://www.cian.ru/sale/flat/303616433/;Москва;sale;flat;5;6;2;75.6;181440000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/303902201/;Москва;sale;flat;17;24;2;45.0;37000000;Хорошевский;Хорошевское шоссе;25Ак2;Полежаевская;Династия
ЖИR Private;real_estate_agent;https://www.cian.ru/sale/flat/304047792/;Москва;sale;flat;13;24;1;42.0;11000000;Люблино;Люблинская ;76к4;Перерва;Люблинский парк
Пионер;developer;https://www.cian.ru/sale/flat/301459955/;Москва;sale;flat;4;11;2;85.3;70625414;Даниловский;;;Павелецкая;Опус ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/296216266/;Москва;sale;flat;13;40;2;47.3;41150000;Хорошевский;Ленинградский проспект;37/3;;Прайм Парк
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302939791/;Москва;sale;flat;6;7;1;33.05;8500000;;;;Санино;Квартал Западный ЖК
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516517/;Москва;sale;flat;2;11;2;47.0;24769000;;;В14 кв-л;Павшино;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Дмитрий Воронин;realtor;https://www.cian.ru/sale/flat/304297549/;Москва;sale;flat;7;15;2;51.6;16400000;Сосенское поселение; Василия Ощепкова;1;;Москвичка
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040442/;Москва;sale;flat;2;6;2;102.4;98201600;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/300645726/;Москва;sale;flat;3;8;2;53.0;60990000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/300032614/;Москва;sale;flat;2;9;2;46.0;10300000;Текстильщики;Грайвороновская ;18К3;Текстильщики;
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065659/;Москва;sale;flat;4;17;2;49.8;53567000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860953/;Москва;sale;flat;9;41;1;40.5;27000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303866591/;Москва;sale;flat;4;5;2;42.8;11190000;Новогиреево;Мартеновская ;16/36;Новогиреево;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/304172962/;Москва;sale;flat;4;7;2;66.2;25745180;;;В17 кв-л;Опалиха;Сберсити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/304381579/;Москва;sale;flat;5;41;1;40.2;34000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
Андрей Косухин;realtor;https://www.cian.ru/sale/flat/304339278/;Москва;sale;flat;29;34;2;43.0;11900000;Южное Бутово; Поляны;5Ак3;Улица Скобелевская;Столичные поляны
COLDY;developer;https://www.cian.ru/sale/flat/297997312/;Москва;sale;flat;2;14;2;147.05;311598950;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301763282/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Москва;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;65.9;78259545;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Надежда Леденева;realtor;https://www.cian.ru/sale/flat/303120729/;Москва;sale;flat;6;12;1;34.9;11600000;Щукино; Гамалеи;19К1;Щукинская;
Sminex;developer;https://www.cian.ru/sale/flat/304423951/;Москва;sale;flat;2;23;2;56.0;56130000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/304622002/;Москва;sale;flat;2;25;1;41.3;12000000;Орехово-Борисово Южное;Ясеневая ;12к2;Домодедовская;Ясеневая 14
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/293721204/;Москва;sale;flat;3;13;2;82.36;44400276;;;В20 кв-л;Павшино;Сберсити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303582856/;Москва;sale;flat;4;21;2;56.2;60000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/302900739/;Москва;sale;flat;3;16;1;29.6;6990000;Дмитровский;Дмитровское шоссе;107Б;Яхромская;
MR Group;developer;https://www.cian.ru/sale/flat/304208103/;Москва;sale;flat;22;54;2;61.18;30473758;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
City View;real_estate_agent;https://www.cian.ru/sale/flat/303780972/;Москва;sale;flat;39;44;2;69.4;48000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Главстрой;developer;https://www.cian.ru/sale/flat/296871994/;Москва;sale;flat;13;30;2;38.2;12888832;Рязанский;Рязанский проспект;;Окская;balance
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299934989/;Москва;sale;flat;4;13;2;81.26;34421736;;;В21 кв-л;Опалиха;Сберсити ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/300942839/;Москва;sale;flat;2;7;2;82.6;38000000;Беговой;Ленинградский проспект;15С28;Белорусская;Bolshevik
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753508/;Москва;sale;flat;37;37;1;48.0;42000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Tekta Group;developer;https://www.cian.ru/sale/flat/303506169/;Москва;sale;flat;3;22;2;39.9;17288670;Нагорный;;1;Нагорная;Твелв ЖК
ID 109135729;realtor;https://www.cian.ru/sale/flat/304330216/;Москва;sale;flat;3;21;2;58.54;61000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/295072445/;Москва;sale;flat;33;57;2;56.77;33678803;Филевский парк;;;Фили;Фили Сити ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298216770/;Москва;sale;flat;13;44;2;73.2;29300000;Хорошево-Мневники;к2/2;к2/2;Шелепиха;Сидней Сити ЖК
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
Киноцентр;developer;https://www.cian.ru/sale/flat/302253810/;Москва;sale;flat;7;20;2;54.85;54795150;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289733275/;Москва;sale;flat;51;75;2;120.4;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/303401024/;Москва;sale;flat;10;17;1;30.6;10500000;;;;Потапово;Скандинавия
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/304455389/;Москва;sale;flat;6;23;2;67.7;31074300;Басманный; Фридриха Энгельса;56;Бауманская;Премиум-квартал 
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/304373316/;Москва;sale;flat;10;34;2;64.0;48000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299655879/;Москва;sale;flat;14;24;2;46.0;31000000;Очаково-Матвеевское;Нежинская ;5к2;Матвеевская;Городские резиденции SPIRES
Пионер;developer;https://www.cian.ru/sale/flat/301460245/;Москва;sale;flat;7;39;2;36.0;27797933;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300983679/;Москва;sale;flat;13;21;2;80.3;54900000;Раменки;Мосфильмовская ;88к4;Раменки;Мосфильмовский
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/300862129/;Москва;sale;flat;24;24;2;58.0;38950000;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
Стадион Спартак;developer;https://www.cian.ru/sale/flat/298406172/;Москва;sale;flat;4;13;2;66.7;32609630;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299551213/;Москва;sale;flat;4;4;2;59.9;48000000;Пресненский;Малый Козихинский переулок;8/18;Пушкинская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295983268/;Москва;sale;flat;44;44;2;86.3;40000000;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040534/;Москва;sale;flat;3;8;2;75.2;50308800;Замоскворечье;Шлюзовая набережная;2/1С1;Павелецкая;Элитный жилой комплекс 
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Москва;sale;flat;38;78;1;58.0;68000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296711017/;Москва;sale;flat;6;12;2;52.0;30000000;Аэропорт;Ленинградский проспект;36с36;Петровский Парк;ВТБ Арена парк
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;22374675;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
Биржа-Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/304425813/;Москва;sale;flat;4;18;2;108.3;45500000;Ломоносовский; Архитектора Власова;6;Профсоюзная;Вавилово
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299203876/;Москва;sale;flat;2;10;1;35.0;13100000;Ростокино;проспект Мира;188Бк2;Ростокино;Триколор
COLDY;developer;https://www.cian.ru/sale/flat/303330147/;Москва;sale;flat;6;15;2;54.39;45517344;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
Барно Турсунова;realtor;https://www.cian.ru/sale/flat/304102478/;Москва;sale;flat;7;17;2;50.9;15390000;Останкинский;Березовая аллея;19к6;Ботанический сад;Апарт-комплекс Легендарный квартал
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304578099/;Москва;sale;flat;3;16;1;38.5;10300000;Северное Медведково;Широкая ;1К5;Медведково;
GloraX;developer;https://www.cian.ru/sale/flat/303476998/;Москва;sale;flat;3;21;2;75.3;38089999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/304106467/;Москва;sale;flat;4;4;2;51.1;37000000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/304574974/;Москва;sale;flat;8;9;1;35.0;11800000;Теплый Стан; Теплый Стан;21К4;Тёплый Стан;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516183/;Москва;sale;flat;2;12;2;85.94;38612842;;;В19 кв-л;Павшино;Сберсити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304690476/;Москва;sale;flat;14;14;2;68.9;59990000;Раменки;проспект Генерала Дорохова;39к1Б;Минская;Собрание клубных домов West Garden
MOD estate;real_estate_agent;https://www.cian.ru/sale/flat/302856189/;Москва;sale;flat;17;17;2;51.2;22300000;Алексеевский;3-я Мытищинская ;3к2;Алексеевская;Алексеево
MR Group;developer;https://www.cian.ru/sale/flat/303224692/;Москва;sale;flat;12;44;2;61.78;29208367;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/304063027/;Москва;sale;flat;2;16;2;60.0;36500000;Хамовники;Фрунзенская набережная;50;Спортивная;
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303331637/;Москва;sale;flat;8;16;2;54.6;17950000;Северное Тушино; Свободы;93;Планерная;
EraOneHolding;developer;https://www.cian.ru/sale/flat/280427150/;Москва;sale;flat;3;5;2;178.6;150400000;Арбат; Арбат;39;Смоленская;Artisan
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/304159654/;Москва;sale;flat;8;9;2;45.0;15950000;Кунцево; Академика Павлова;13;Молодёжная;
